date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:38	78786/78786	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:21%20GMT	https://www.ecured.cu/EcuRed:Art%c3%adculos_solicitados	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/EcuRed_Art%c3%adculos_solicitados.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:38	4359/4359	---M--	200	added ('OK')	image/jpeg	etag:%22593ecfca-1107%22	https://www.ecured.cu/images/thumb/5/5e/Art%c3%adculos_solicitados.jpg/100px-Art%c3%adculos_solicitados.jpg	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/images/thumb/5/5e/Art%c3%adculos_solicitados.jpg/100px-Art%c3%adculos_solicitados.jpg	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:39	48966/48966	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:22%20GMT	https://www.ecured.cu/Portal:Panorama_Mundial	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Portal_Panorama_Mundial.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:40	21151/21151	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:37%20GMT	https://www.ecured.cu/Portal:Panorama_Mundial/DE_LA_PRENSA	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Portal_Panorama_Mundial/DE_LA_PRENSA.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:40	27839/27839	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:23%20GMT	https://www.ecured.cu/Portal:Panorama_Mundial/RESUMEN_SEMANAL_Y_REVISTA	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Portal_Panorama_Mundial/RESUMEN_SEMANAL_Y_REVISTA.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:41	21450/21450	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:38%20GMT	https://www.ecured.cu/Portal:Panorama_Mundial/DE_CUBA	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Portal_Panorama_Mundial/DE_CUBA.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:42	26362/26362	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:25%20GMT	https://www.ecured.cu/Portal:Panorama_Mundial/DEL_MUNDO02	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Portal_Panorama_Mundial/DEL_MUNDO02.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:42	23370/23370	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:39%20GMT	https://www.ecured.cu/Archivo:Cincoheroes.jpg	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Archivo_Cincoheroes.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:42	3287/3287	---M--	200	added ('OK')	image/jpeg	etag:%2255047bbb-cd7%22	https://www.ecured.cu/images/thumb/1/1e/Cincoheroes.jpg/90px-Cincoheroes.jpg	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/images/thumb/1/1e/Cincoheroes.jpg/90px-Cincoheroes.jpg	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:43	34488/34488	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:26%20GMT	https://www.ecured.cu/1891	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/1891.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
